Year,Period,CPI_ALL_Items,CPI_Less_Food_Energy,CPI_Gasoline
2024,M06,314.175,319.003,308.475
2024,M05,314.069,318.629,320.981
2024,M04,313.548,317.978,322.434
2024,M03,312.332,317.088,306.513
2024,M02,310.326,315.419,287.943
2024,M01,308.417,313.623,276.003
2023,M12,306.746,311.907,280.289
2023,M11,307.051,311.606,297.598
2023,M10,307.671,311.38,320.999
2023,M09,307.789,310.817,338.893
2023,M08,307.026,310.103,336.979
2023,M07,305.691,309.402,318.071
2023,M06,305.109,308.91,316.258
2023,M05,304.127,308.096,314.116
2023,M04,303.363,306.899,318.482
2023,M03,301.836,305.476,302.673
2023,M02,300.84,304.011,299.774
2023,M01,299.17,301.962,294.759
2022,M12,296.797,300.113,285.757
2022,M11,297.711,299.6,326.649
2022,M10,298.012,299.315,339.017
2022,M09,296.808,298.442,328.918
2022,M08,296.171,297.178,348.593
2022,M07,296.276,295.646,396.952
2022,M06,296.311,294.68,430.142
2022,M05,292.296,292.506,391.262
2022,M04,289.109,290.846,362.802
2022,M03,287.504,289.305,366.499
2022,M02,283.716,288.059,305.959
2022,M01,281.148,285.996,290.416
2021,M12,278.802,283.908,290.185
2021,M11,277.948,282.754,296.571
2021,M10,276.589,281.617,288.501
2021,M09,274.31,279.884,278.338
2021,M08,273.567,279.507,277.448
2021,M07,273.003,279.146,275.656
2021,M06,271.696,278.218,268.979
2021,M05,269.195,275.893,263.17
2021,M04,267.054,273.968,252.603
2021,M03,264.877,271.713,247.652
2021,M02,263.014,270.696,221.689
2021,M01,261.582,269.755,207.406
2020,M12,260.474,269.226,193.99
2020,M11,260.229,269.473,187.609
2020,M10,260.388,269.328,192.792
2020,M09,260.28,269.054,195.888
2020,M08,259.918,268.756,194.449
2020,M07,259.101,267.703,194.397
2020,M06,257.797,266.302,185.422
2020,M05,256.394,265.799,168.528
2020,M04,256.389,266.089,168.891
2020,M03,258.115,267.312,202.205
2020,M02,258.678,267.268,218.373
2020,M01,257.971,266.004,227.01
2019,M12,256.974,264.935,228.857
2019,M11,257.208,265.108,232.575
2019,M10,257.346,265.059,235.168
2019,M09,256.759,264.522,231.496
2019,M08,256.558,264.169,233.625
2019,M07,256.571,263.566,244.0
2019,M06,256.143,263.177,242.043
2019,M05,256.092,262.59,254.551
2019,M04,255.548,262.332,248.499
2019,M03,254.202,261.836,225.282
2019,M02,252.776,261.114,206.749
2019,M01,251.712,260.122,201.194
