CPI_ALL_Items,CPI_Less_Food_Energy,CPI_Gasoline
"('2024', 'M06', '314.175')","('2024', 'M06', '319.003')","('2024', 'M06', '308.475')"
"('2024', 'M05', '314.069')","('2024', 'M05', '318.629')","('2024', 'M05', '320.981')"
"('2024', 'M04', '313.548')","('2024', 'M04', '317.978')","('2024', 'M04', '322.434')"
"('2024', 'M03', '312.332')","('2024', 'M03', '317.088')","('2024', 'M03', '306.513')"
"('2024', 'M02', '310.326')","('2024', 'M02', '315.419')","('2024', 'M02', '287.943')"
"('2024', 'M01', '308.417')","('2024', 'M01', '313.623')","('2024', 'M01', '276.003')"
"('2023', 'M12', '306.746')","('2023', 'M12', '311.907')","('2023', 'M12', '280.289')"
"('2023', 'M11', '307.051')","('2023', 'M11', '311.606')","('2023', 'M11', '297.598')"
"('2023', 'M10', '307.671')","('2023', 'M10', '311.380')","('2023', 'M10', '320.999')"
"('2023', 'M09', '307.789')","('2023', 'M09', '310.817')","('2023', 'M09', '338.893')"
"('2023', 'M08', '307.026')","('2023', 'M08', '310.103')","('2023', 'M08', '336.979')"
"('2023', 'M07', '305.691')","('2023', 'M07', '309.402')","('2023', 'M07', '318.071')"
"('2023', 'M06', '305.109')","('2023', 'M06', '308.910')","('2023', 'M06', '316.258')"
"('2023', 'M05', '304.127')","('2023', 'M05', '308.096')","('2023', 'M05', '314.116')"
"('2023', 'M04', '303.363')","('2023', 'M04', '306.899')","('2023', 'M04', '318.482')"
"('2023', 'M03', '301.836')","('2023', 'M03', '305.476')","('2023', 'M03', '302.673')"
"('2023', 'M02', '300.840')","('2023', 'M02', '304.011')","('2023', 'M02', '299.774')"
"('2023', 'M01', '299.170')","('2023', 'M01', '301.962')","('2023', 'M01', '294.759')"
"('2022', 'M12', '296.797')","('2022', 'M12', '300.113')","('2022', 'M12', '285.757')"
"('2022', 'M11', '297.711')","('2022', 'M11', '299.600')","('2022', 'M11', '326.649')"
"('2022', 'M10', '298.012')","('2022', 'M10', '299.315')","('2022', 'M10', '339.017')"
"('2022', 'M09', '296.808')","('2022', 'M09', '298.442')","('2022', 'M09', '328.918')"
"('2022', 'M08', '296.171')","('2022', 'M08', '297.178')","('2022', 'M08', '348.593')"
"('2022', 'M07', '296.276')","('2022', 'M07', '295.646')","('2022', 'M07', '396.952')"
"('2022', 'M06', '296.311')","('2022', 'M06', '294.680')","('2022', 'M06', '430.142')"
"('2022', 'M05', '292.296')","('2022', 'M05', '292.506')","('2022', 'M05', '391.262')"
"('2022', 'M04', '289.109')","('2022', 'M04', '290.846')","('2022', 'M04', '362.802')"
"('2022', 'M03', '287.504')","('2022', 'M03', '289.305')","('2022', 'M03', '366.499')"
"('2022', 'M02', '283.716')","('2022', 'M02', '288.059')","('2022', 'M02', '305.959')"
"('2022', 'M01', '281.148')","('2022', 'M01', '285.996')","('2022', 'M01', '290.416')"
"('2021', 'M12', '278.802')","('2021', 'M12', '283.908')","('2021', 'M12', '290.185')"
"('2021', 'M11', '277.948')","('2021', 'M11', '282.754')","('2021', 'M11', '296.571')"
"('2021', 'M10', '276.589')","('2021', 'M10', '281.617')","('2021', 'M10', '288.501')"
"('2021', 'M09', '274.310')","('2021', 'M09', '279.884')","('2021', 'M09', '278.338')"
"('2021', 'M08', '273.567')","('2021', 'M08', '279.507')","('2021', 'M08', '277.448')"
"('2021', 'M07', '273.003')","('2021', 'M07', '279.146')","('2021', 'M07', '275.656')"
"('2021', 'M06', '271.696')","('2021', 'M06', '278.218')","('2021', 'M06', '268.979')"
"('2021', 'M05', '269.195')","('2021', 'M05', '275.893')","('2021', 'M05', '263.170')"
"('2021', 'M04', '267.054')","('2021', 'M04', '273.968')","('2021', 'M04', '252.603')"
"('2021', 'M03', '264.877')","('2021', 'M03', '271.713')","('2021', 'M03', '247.652')"
"('2021', 'M02', '263.014')","('2021', 'M02', '270.696')","('2021', 'M02', '221.689')"
"('2021', 'M01', '261.582')","('2021', 'M01', '269.755')","('2021', 'M01', '207.406')"
"('2020', 'M12', '260.474')","('2020', 'M12', '269.226')","('2020', 'M12', '193.990')"
"('2020', 'M11', '260.229')","('2020', 'M11', '269.473')","('2020', 'M11', '187.609')"
"('2020', 'M10', '260.388')","('2020', 'M10', '269.328')","('2020', 'M10', '192.792')"
"('2020', 'M09', '260.280')","('2020', 'M09', '269.054')","('2020', 'M09', '195.888')"
"('2020', 'M08', '259.918')","('2020', 'M08', '268.756')","('2020', 'M08', '194.449')"
"('2020', 'M07', '259.101')","('2020', 'M07', '267.703')","('2020', 'M07', '194.397')"
"('2020', 'M06', '257.797')","('2020', 'M06', '266.302')","('2020', 'M06', '185.422')"
"('2020', 'M05', '256.394')","('2020', 'M05', '265.799')","('2020', 'M05', '168.528')"
"('2020', 'M04', '256.389')","('2020', 'M04', '266.089')","('2020', 'M04', '168.891')"
"('2020', 'M03', '258.115')","('2020', 'M03', '267.312')","('2020', 'M03', '202.205')"
"('2020', 'M02', '258.678')","('2020', 'M02', '267.268')","('2020', 'M02', '218.373')"
"('2020', 'M01', '257.971')","('2020', 'M01', '266.004')","('2020', 'M01', '227.010')"
"('2019', 'M12', '256.974')","('2019', 'M12', '264.935')","('2019', 'M12', '228.857')"
"('2019', 'M11', '257.208')","('2019', 'M11', '265.108')","('2019', 'M11', '232.575')"
"('2019', 'M10', '257.346')","('2019', 'M10', '265.059')","('2019', 'M10', '235.168')"
"('2019', 'M09', '256.759')","('2019', 'M09', '264.522')","('2019', 'M09', '231.496')"
"('2019', 'M08', '256.558')","('2019', 'M08', '264.169')","('2019', 'M08', '233.625')"
"('2019', 'M07', '256.571')","('2019', 'M07', '263.566')","('2019', 'M07', '244.000')"
"('2019', 'M06', '256.143')","('2019', 'M06', '263.177')","('2019', 'M06', '242.043')"
"('2019', 'M05', '256.092')","('2019', 'M05', '262.590')","('2019', 'M05', '254.551')"
"('2019', 'M04', '255.548')","('2019', 'M04', '262.332')","('2019', 'M04', '248.499')"
"('2019', 'M03', '254.202')","('2019', 'M03', '261.836')","('2019', 'M03', '225.282')"
"('2019', 'M02', '252.776')","('2019', 'M02', '261.114')","('2019', 'M02', '206.749')"
"('2019', 'M01', '251.712')","('2019', 'M01', '260.122')","('2019', 'M01', '201.194')"
